task,response,choices,domain,response_type,id,sequence,rt,enc_task,enc_response,gender,education,guessed,task_opinion1,effort_finding_answer,like_syllog,strategy,strategy_description,quantifier_most,tired,attentive,certain,serious_participation,study_comment,similar_experiments,session
All;climbers;therapists/Most;therapists;skaters,Most;climbers;skaters,All;climbers;skaters|All;skaters;climbers|No;climbers;skaters|No;skaters;climbers|Some;climbers;skaters|Some;skaters;climbers|Some not;climbers;skaters|Some not;skaters;climbers|Most;climbers;skaters|Most;skaters;climbers|Most not;climbers;skaters|Most not;skaters;climbers|NVC,syllogistic-generalized,single-choice,participant_3,53,23882.0,AT1,Tac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;agents;brokers/All;brokers;secretaries,Some;agents;secretaries,All;agents;secretaries|All;secretaries;agents|No;agents;secretaries|No;secretaries;agents|Some;agents;secretaries|Some;secretaries;agents|Some not;agents;secretaries|Some not;secretaries;agents|Most;agents;secretaries|Most;secretaries;agents|Most not;agents;secretaries|Most not;secretaries;agents|NVC,syllogistic-generalized,single-choice,participant_3,54,24589.0,OA1,Iac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;buyers;students/Some;cyclists;students,NVC,All;buyers;cyclists|All;cyclists;buyers|No;buyers;cyclists|No;cyclists;buyers|Some;buyers;cyclists|Some;cyclists;buyers|Some not;buyers;cyclists|Some not;cyclists;buyers|Most;buyers;cyclists|Most;cyclists;buyers|Most not;buyers;cyclists|Most not;cyclists;buyers|NVC,syllogistic-generalized,single-choice,participant_3,55,10135.0,DI3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;teachers;bankers/All;bankers;golfers,NVC,All;teachers;golfers|All;golfers;teachers|No;teachers;golfers|No;golfers;teachers|Some;teachers;golfers|Some;golfers;teachers|Some not;teachers;golfers|Some not;golfers;teachers|Most;teachers;golfers|Most;golfers;teachers|Most not;teachers;golfers|Most not;golfers;teachers|NVC,syllogistic-generalized,single-choice,participant_3,56,4147.0,DA1,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;brokers;secretaries/No;agents;brokers,NVC,All;secretaries;agents|All;agents;secretaries|No;secretaries;agents|No;agents;secretaries|Some;secretaries;agents|Some;agents;secretaries|Some not;secretaries;agents|Some not;agents;secretaries|Most;secretaries;agents|Most;agents;secretaries|Most not;secretaries;agents|Most not;agents;secretaries|NVC,syllogistic-generalized,single-choice,participant_3,57,14914.0,DE2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;painters;workers/Most;workers;actors,Most;painters;actors,All;painters;actors|All;actors;painters|No;painters;actors|No;actors;painters|Some;painters;actors|Some;actors;painters|Some not;painters;actors|Some not;actors;painters|Most;painters;actors|Most;actors;painters|Most not;painters;actors|Most not;actors;painters|NVC,syllogistic-generalized,single-choice,participant_3,58,13136.0,TT1,Tac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
No;trainers;architects/Some;trainers;designers,NVC,All;architects;designers|All;designers;architects|No;architects;designers|No;designers;architects|Some;architects;designers|Some;designers;architects|Some not;architects;designers|Some not;designers;architects|Most;architects;designers|Most;designers;architects|Most not;architects;designers|Most not;designers;architects|NVC,syllogistic-generalized,single-choice,participant_3,59,29257.0,EI4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;writers;drivers/Some not;drivers;hikers,NVC,All;writers;hikers|All;hikers;writers|No;writers;hikers|No;hikers;writers|Some;writers;hikers|Some;hikers;writers|Some not;writers;hikers|Some not;hikers;writers|Most;writers;hikers|Most;hikers;writers|Most not;writers;hikers|Most not;hikers;writers|NVC,syllogistic-generalized,single-choice,participant_3,60,3767.0,IO1,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;joggers;counselors/Most;riders;joggers,Some;riders;counselors,All;counselors;riders|All;riders;counselors|No;counselors;riders|No;riders;counselors|Some;counselors;riders|Some;riders;counselors|Some not;counselors;riders|Some not;riders;counselors|Most;counselors;riders|Most;riders;counselors|Most not;counselors;riders|Most not;riders;counselors|NVC,syllogistic-generalized,single-choice,participant_3,61,36874.0,AT2,Ica,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
No;poets;cashiers/Some not;poets;waiters,NVC,All;cashiers;waiters|All;waiters;cashiers|No;cashiers;waiters|No;waiters;cashiers|Some;cashiers;waiters|Some;waiters;cashiers|Some not;cashiers;waiters|Some not;waiters;cashiers|Most;cashiers;waiters|Most;waiters;cashiers|Most not;cashiers;waiters|Most not;waiters;cashiers|NVC,syllogistic-generalized,single-choice,participant_3,62,9061.0,EO4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;writers;drivers/Most not;writers;hikers,NVC,All;drivers;hikers|All;hikers;drivers|No;drivers;hikers|No;hikers;drivers|Some;drivers;hikers|Some;hikers;drivers|Some not;drivers;hikers|Some not;hikers;drivers|Most;drivers;hikers|Most;hikers;drivers|Most not;drivers;hikers|Most not;hikers;drivers|NVC,syllogistic-generalized,single-choice,participant_3,63,28332.0,DD4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;mayors;swimmers/No;cooks;mayors,NVC,All;swimmers;cooks|All;cooks;swimmers|No;swimmers;cooks|No;cooks;swimmers|Some;swimmers;cooks|Some;cooks;swimmers|Some not;swimmers;cooks|Some not;cooks;swimmers|Most;swimmers;cooks|Most;cooks;swimmers|Most not;swimmers;cooks|Most not;cooks;swimmers|NVC,syllogistic-generalized,single-choice,participant_3,64,31183.0,IE2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
No;golfers;teachers/All;bankers;teachers,No;bankers;golfers,All;golfers;bankers|All;bankers;golfers|No;golfers;bankers|No;bankers;golfers|Some;golfers;bankers|Some;bankers;golfers|Some not;golfers;bankers|Some not;bankers;golfers|Most;golfers;bankers|Most;bankers;golfers|Most not;golfers;bankers|Most not;bankers;golfers|NVC,syllogistic-generalized,single-choice,participant_3,65,39437.0,EA3,Eca,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;nurses;drillers/Most not;actors;nurses,NVC,All;drillers;actors|All;actors;drillers|No;drillers;actors|No;actors;drillers|Some;drillers;actors|Some;actors;drillers|Some not;drillers;actors|Some not;actors;drillers|Most;drillers;actors|Most;actors;drillers|Most not;drillers;actors|Most not;actors;drillers|NVC,syllogistic-generalized,single-choice,participant_3,66,4000.0,OD2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;campers;engineers/Some;campers;fencers,NVC,All;engineers;fencers|All;fencers;engineers|No;engineers;fencers|No;fencers;engineers|Some;engineers;fencers|Some;fencers;engineers|Some not;engineers;fencers|Some not;fencers;engineers|Most;engineers;fencers|Most;fencers;engineers|Most not;engineers;fencers|Most not;fencers;engineers|NVC,syllogistic-generalized,single-choice,participant_3,67,4130.0,II4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
No;gamblers;sculptors/No;bakers;gamblers,NVC,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,participant_3,68,4049.0,EE2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;divers;carpenters/Most not;linguists;carpenters,Most not;divers;linguists,All;divers;linguists|All;linguists;divers|No;divers;linguists|No;linguists;divers|Some;divers;linguists|Some;linguists;divers|Some not;divers;linguists|Some not;linguists;divers|Most;divers;linguists|Most;linguists;divers|Most not;divers;linguists|Most not;linguists;divers|NVC,syllogistic-generalized,single-choice,participant_3,69,11961.0,TD3,Dac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;assistants;farmers/Most not;scholars;farmers,NVC,All;assistants;scholars|All;scholars;assistants|No;assistants;scholars|No;scholars;assistants|Some;assistants;scholars|Some;scholars;assistants|Some not;assistants;scholars|Some not;scholars;assistants|Most;assistants;scholars|Most;scholars;assistants|Most not;assistants;scholars|Most not;scholars;assistants|NVC,syllogistic-generalized,single-choice,participant_3,70,3648.0,DD3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;typists;dancers/Some not;dancers;boxers,Some not;typists;boxers,All;typists;boxers|All;boxers;typists|No;typists;boxers|No;boxers;typists|Some;typists;boxers|Some;boxers;typists|Some not;typists;boxers|Some not;boxers;typists|Most;typists;boxers|Most;boxers;typists|Most not;typists;boxers|Most not;boxers;typists|NVC,syllogistic-generalized,single-choice,participant_3,71,10449.0,TO1,Oac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;climbers;tellers/All;doctors;tellers,NVC,All;climbers;doctors|All;doctors;climbers|No;climbers;doctors|No;doctors;climbers|Some;climbers;doctors|Some;doctors;climbers|Some not;climbers;doctors|Some not;doctors;climbers|Most;climbers;doctors|Most;doctors;climbers|Most not;climbers;doctors|Most not;doctors;climbers|NVC,syllogistic-generalized,single-choice,participant_3,72,10698.0,AA3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;actuaries;boxers/Most not;boxers;opticians,NVC,All;actuaries;opticians|All;opticians;actuaries|No;actuaries;opticians|No;opticians;actuaries|Some;actuaries;opticians|Some;opticians;actuaries|Some not;actuaries;opticians|Some not;opticians;actuaries|Most;actuaries;opticians|Most;opticians;actuaries|Most not;actuaries;opticians|Most not;opticians;actuaries|NVC,syllogistic-generalized,single-choice,participant_3,73,16282.0,DD1,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;hunters;lawyers/Some not;athletes;lawyers,NVC,All;hunters;athletes|All;athletes;hunters|No;hunters;athletes|No;athletes;hunters|Some;hunters;athletes|Some;athletes;hunters|Some not;hunters;athletes|Some not;athletes;hunters|Most;hunters;athletes|Most;athletes;hunters|Most not;hunters;athletes|Most not;athletes;hunters|NVC,syllogistic-generalized,single-choice,participant_3,74,10373.0,AO3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;boxers;dancers/No;typists;dancers,NVC,All;boxers;typists|All;typists;boxers|No;boxers;typists|No;typists;boxers|Some;boxers;typists|Some;typists;boxers|Some not;boxers;typists|Some not;typists;boxers|Most;boxers;typists|Most;typists;boxers|Most not;boxers;typists|Most not;typists;boxers|NVC,syllogistic-generalized,single-choice,participant_3,75,4724.0,OE3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;plumbers;dentists/Some;dentists;lifeguards,NVC,All;plumbers;lifeguards|All;lifeguards;plumbers|No;plumbers;lifeguards|No;lifeguards;plumbers|Some;plumbers;lifeguards|Some;lifeguards;plumbers|Some not;plumbers;lifeguards|Some not;lifeguards;plumbers|Most;plumbers;lifeguards|Most;lifeguards;plumbers|Most not;plumbers;lifeguards|Most not;lifeguards;plumbers|NVC,syllogistic-generalized,single-choice,participant_3,76,4267.0,II1,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;porters;judges/All;porters;brewers,Some not;brewers;judges,All;judges;brewers|All;brewers;judges|No;judges;brewers|No;brewers;judges|Some;judges;brewers|Some;brewers;judges|Some not;judges;brewers|Some not;brewers;judges|Most;judges;brewers|Most;brewers;judges|Most not;judges;brewers|Most not;brewers;judges|NVC,syllogistic-generalized,single-choice,participant_3,77,5677.0,DA4,Oca,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;doctors;tellers/Most;climbers;doctors,NVC,All;tellers;climbers|All;climbers;tellers|No;tellers;climbers|No;climbers;tellers|Some;tellers;climbers|Some;climbers;tellers|Some not;tellers;climbers|Some not;climbers;tellers|Most;tellers;climbers|Most;climbers;tellers|Most not;tellers;climbers|Most not;climbers;tellers|NVC,syllogistic-generalized,single-choice,participant_3,78,4574.0,TT2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;swimmers;mayors/Some;mayors;cooks,NVC,All;swimmers;cooks|All;cooks;swimmers|No;swimmers;cooks|No;cooks;swimmers|Some;swimmers;cooks|Some;cooks;swimmers|Some not;swimmers;cooks|Some not;cooks;swimmers|Most;swimmers;cooks|Most;cooks;swimmers|Most not;swimmers;cooks|Most not;cooks;swimmers|NVC,syllogistic-generalized,single-choice,participant_3,79,6794.0,OI1,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;linguists;carpenters/No;linguists;divers,NVC,All;carpenters;divers|All;divers;carpenters|No;carpenters;divers|No;divers;carpenters|Some;carpenters;divers|Some;divers;carpenters|Some not;carpenters;divers|Some not;divers;carpenters|Most;carpenters;divers|Most;divers;carpenters|Most not;carpenters;divers|Most not;divers;carpenters|NVC,syllogistic-generalized,single-choice,participant_3,80,4524.0,OE4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;barbers;investors/Some;investors;jugglers,Some;barbers;jugglers,All;barbers;jugglers|All;jugglers;barbers|No;barbers;jugglers|No;jugglers;barbers|Some;barbers;jugglers|Some;jugglers;barbers|Some not;barbers;jugglers|Some not;jugglers;barbers|Most;barbers;jugglers|Most;jugglers;barbers|Most not;barbers;jugglers|Most not;jugglers;barbers|NVC,syllogistic-generalized,single-choice,participant_3,81,5240.0,TI1,Iac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;architects;trainers/Most;architects;designers,NVC,All;trainers;designers|All;designers;trainers|No;trainers;designers|No;designers;trainers|Some;trainers;designers|Some;designers;trainers|Some not;trainers;designers|Some not;designers;trainers|Most;trainers;designers|Most;designers;trainers|Most not;trainers;designers|Most not;designers;trainers|NVC,syllogistic-generalized,single-choice,participant_3,82,31427.0,IT4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;riders;joggers/No;counselors;joggers,Most not;riders;counselors,All;riders;counselors|All;counselors;riders|No;riders;counselors|No;counselors;riders|Some;riders;counselors|Some;counselors;riders|Some not;riders;counselors|Some not;counselors;riders|Most;riders;counselors|Most;counselors;riders|Most not;riders;counselors|Most not;counselors;riders|NVC,syllogistic-generalized,single-choice,participant_3,83,31430.0,TE3,Dac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;surfers;artists/Some not;artists;planners,Some not;surfers;planners,All;surfers;planners|All;planners;surfers|No;surfers;planners|No;planners;surfers|Some;surfers;planners|Some;planners;surfers|Some not;surfers;planners|Some not;planners;surfers|Most;surfers;planners|Most;planners;surfers|Most not;surfers;planners|Most not;planners;surfers|NVC,syllogistic-generalized,single-choice,participant_3,84,7766.0,AO1,Oac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;tailors;singers/No;pilots;singers,No;tailors;pilots,All;tailors;pilots|All;pilots;tailors|No;tailors;pilots|No;pilots;tailors|Some;tailors;pilots|Some;pilots;tailors|Some not;tailors;pilots|Some not;pilots;tailors|Most;tailors;pilots|Most;pilots;tailors|Most not;tailors;pilots|Most not;pilots;tailors|NVC,syllogistic-generalized,single-choice,participant_3,85,21303.0,AE3,Eac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;managers;models/No;managers;clerks,NVC,All;models;clerks|All;clerks;models|No;models;clerks|No;clerks;models|Some;models;clerks|Some;clerks;models|Some not;models;clerks|Some not;clerks;models|Most;models;clerks|Most;clerks;models|Most not;models;clerks|Most not;clerks;models|NVC,syllogistic-generalized,single-choice,participant_3,86,11269.0,DE4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;potters;sailors/No;chemists;potters,NVC,All;sailors;chemists|All;chemists;sailors|No;sailors;chemists|No;chemists;sailors|Some;sailors;chemists|Some;chemists;sailors|Some not;sailors;chemists|Some not;chemists;sailors|Most;sailors;chemists|Most;chemists;sailors|Most not;sailors;chemists|Most not;chemists;sailors|NVC,syllogistic-generalized,single-choice,participant_3,87,26406.0,OE2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;brewers;porters/Most not;porters;judges,Some not;brewers;judges,All;brewers;judges|All;judges;brewers|No;brewers;judges|No;judges;brewers|Some;brewers;judges|Some;judges;brewers|Some not;brewers;judges|Some not;judges;brewers|Most;brewers;judges|Most;judges;brewers|Most not;brewers;judges|Most not;judges;brewers|NVC,syllogistic-generalized,single-choice,participant_3,88,6065.0,OD1,Oac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;tutors;packers/Some;tutors;butchers,Some;packers;butchers,All;packers;butchers|All;butchers;packers|No;packers;butchers|No;butchers;packers|Some;packers;butchers|Some;butchers;packers|Some not;packers;butchers|Some not;butchers;packers|Most;packers;butchers|Most;butchers;packers|Most not;packers;butchers|Most not;butchers;packers|NVC,syllogistic-generalized,single-choice,participant_3,89,6068.0,TI4,Iac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;skaters;poets/All;miners;skaters,Most;miners;poets,All;poets;miners|All;miners;poets|No;poets;miners|No;miners;poets|Some;poets;miners|Some;miners;poets|Some not;poets;miners|Some not;miners;poets|Most;poets;miners|Most;miners;poets|Most not;poets;miners|Most not;miners;poets|NVC,syllogistic-generalized,single-choice,participant_3,90,7963.0,TA2,Tca,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;sailors;chemists/All;potters;sailors,All;potters;chemists,All;chemists;potters|All;potters;chemists|No;chemists;potters|No;potters;chemists|Some;chemists;potters|Some;potters;chemists|Some not;chemists;potters|Some not;potters;chemists|Most;chemists;potters|Most;potters;chemists|Most not;chemists;potters|Most not;potters;chemists|NVC,syllogistic-generalized,single-choice,participant_3,91,11927.0,AA2,Aca,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some;planners;surfers/Most;artists;planners,Some;artists;surfers,All;surfers;artists|All;artists;surfers|No;surfers;artists|No;artists;surfers|Some;surfers;artists|Some;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|Most;surfers;artists|Most;artists;surfers|Most not;surfers;artists|Most not;artists;surfers|NVC,syllogistic-generalized,single-choice,participant_3,92,6353.0,IT2,Ica,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;packers;butchers/No;tutors;butchers,NVC,All;packers;tutors|All;tutors;packers|No;packers;tutors|No;tutors;packers|Some;packers;tutors|Some;tutors;packers|Some not;packers;tutors|Some not;tutors;packers|Most;packers;tutors|Most;tutors;packers|Most not;packers;tutors|Most not;tutors;packers|NVC,syllogistic-generalized,single-choice,participant_3,93,11341.0,DE3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;novelists;analysts/No;analysts;travelers,No;novelists;travelers,All;novelists;travelers|All;travelers;novelists|No;novelists;travelers|No;travelers;novelists|Some;novelists;travelers|Some;travelers;novelists|Some not;novelists;travelers|Some not;travelers;novelists|Most;novelists;travelers|Most;travelers;novelists|Most not;novelists;travelers|Most not;travelers;novelists|NVC,syllogistic-generalized,single-choice,participant_3,94,12498.0,AE1,Eac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;soldiers;editors/Some not;soldiers;florists,NVC,All;editors;florists|All;florists;editors|No;editors;florists|No;florists;editors|Some;editors;florists|Some;florists;editors|Some not;editors;florists|Some not;florists;editors|Most;editors;florists|Most;florists;editors|Most not;editors;florists|Most not;florists;editors|NVC,syllogistic-generalized,single-choice,participant_3,95,4492.0,OO4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;actors;nurses/All;actors;drillers,Some not;drillers;nurses,All;nurses;drillers|All;drillers;nurses|No;nurses;drillers|No;drillers;nurses|Some;nurses;drillers|Some;drillers;nurses|Some not;nurses;drillers|Some not;drillers;nurses|Most;nurses;drillers|Most;drillers;nurses|Most not;nurses;drillers|Most not;drillers;nurses|NVC,syllogistic-generalized,single-choice,participant_3,96,6280.0,OA4,Oca,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;climbers;skaters/Some not;therapists;climbers,NVC,All;skaters;therapists|All;therapists;skaters|No;skaters;therapists|No;therapists;skaters|Some;skaters;therapists|Some;therapists;skaters|Some not;skaters;therapists|Some not;therapists;skaters|Most;skaters;therapists|Most;therapists;skaters|Most not;skaters;therapists|Most not;therapists;skaters|NVC,syllogistic-generalized,single-choice,participant_3,97,4190.0,AO2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;farmers;assistants/Most;scholars;assistants,NVC,All;farmers;scholars|All;scholars;farmers|No;farmers;scholars|No;scholars;farmers|Some;farmers;scholars|Some;scholars;farmers|Some not;farmers;scholars|Some not;scholars;farmers|Most;farmers;scholars|Most;scholars;farmers|Most not;farmers;scholars|Most not;scholars;farmers|NVC,syllogistic-generalized,single-choice,participant_3,98,4031.0,OT3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;fencers;engineers/All;campers;engineers,NVC,All;fencers;campers|All;campers;fencers|No;fencers;campers|No;campers;fencers|Some;fencers;campers|Some;campers;fencers|Some not;fencers;campers|Some not;campers;fencers|Most;fencers;campers|Most;campers;fencers|Most not;fencers;campers|Most not;campers;fencers|NVC,syllogistic-generalized,single-choice,participant_3,99,15608.0,OA3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Some not;runners;scientists/Most;runners;chefs,NVC,All;scientists;chefs|All;chefs;scientists|No;scientists;chefs|No;chefs;scientists|Some;scientists;chefs|Some;chefs;scientists|Some not;scientists;chefs|Some not;chefs;scientists|Most;scientists;chefs|Most;chefs;scientists|Most not;scientists;chefs|Most not;chefs;scientists|NVC,syllogistic-generalized,single-choice,participant_3,100,6582.0,OT4,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;singers;tailors/Some;pilots;tailors,NVC,All;singers;pilots|All;pilots;singers|No;singers;pilots|No;pilots;singers|Some;singers;pilots|Some;pilots;singers|Some not;singers;pilots|Some not;pilots;singers|Most;singers;pilots|Most;pilots;singers|Most not;singers;pilots|Most not;pilots;singers|NVC,syllogistic-generalized,single-choice,participant_3,101,3686.0,TI3,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
All;travelers;novelists/Some;analysts;travelers,Some;novelists;analysts,All;novelists;analysts|All;analysts;novelists|No;novelists;analysts|No;analysts;novelists|Some;novelists;analysts|Some;analysts;novelists|Some not;novelists;analysts|Some not;analysts;novelists|Most;novelists;analysts|Most;analysts;novelists|Most not;novelists;analysts|Most not;analysts;novelists|NVC,syllogistic-generalized,single-choice,participant_3,102,13803.0,AI2,Iac,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most not;gamblers;sculptors/Some not;bakers;gamblers,NVC,All;sculptors;bakers|All;bakers;sculptors|No;sculptors;bakers|No;bakers;sculptors|Some;sculptors;bakers|Some;bakers;sculptors|Some not;sculptors;bakers|Some not;bakers;sculptors|Most;sculptors;bakers|Most;bakers;sculptors|Most not;sculptors;bakers|Most not;bakers;sculptors|NVC,syllogistic-generalized,single-choice,participant_3,103,3777.0,DO2,NVC,female,associate,21,68,93,74,yes,tried to reason,no,38,98,64,yes,no,no,2
Most;secretaries;brokers/Some not;agents;secretaries,Some not;agents;brokers,All;brokers;agents|All;agents;brokers|No;brokers;agents|No;agents;brokers|Some;brokers;agents|Some;agents;brokers|Some not;brokers;agents|Some not;agents;brokers|Most;brokers;agents|Most;agents;brokers|Most not;brokers;agents|Most not;agents;brokers|NVC,syllogistic-generalized,single-choice,participant_3,103,19635.0,TO2,Oca,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
Most not;linguists;divers/All;carpenters;divers,NVC,All;linguists;carpenters|All;carpenters;linguists|No;linguists;carpenters|No;carpenters;linguists|Some;linguists;carpenters|Some;carpenters;linguists|Some not;linguists;carpenters|Some not;carpenters;linguists|Most;linguists;carpenters|Most;carpenters;linguists|Most not;linguists;carpenters|Most not;carpenters;linguists|NVC,syllogistic-generalized,single-choice,participant_3,104,23498.0,DA3,NVC,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
Some not;runners;scientists/Most;chefs;runners,NVC,All;scientists;chefs|All;chefs;scientists|No;scientists;chefs|No;chefs;scientists|Some;scientists;chefs|Some;chefs;scientists|Some not;scientists;chefs|Some not;chefs;scientists|Most;scientists;chefs|Most;chefs;scientists|Most not;scientists;chefs|Most not;chefs;scientists|NVC,syllogistic-generalized,single-choice,participant_3,105,7979.0,OT2,NVC,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
All;surfers;planners/Some;artists;planners,NVC,All;surfers;artists|All;artists;surfers|No;surfers;artists|No;artists;surfers|Some;surfers;artists|Some;artists;surfers|Some not;surfers;artists|Some not;artists;surfers|Most;surfers;artists|Most;artists;surfers|Most not;surfers;artists|Most not;artists;surfers|NVC,syllogistic-generalized,single-choice,participant_3,106,31690.0,AI3,NVC,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
Some;climbers;tellers/All;doctors;tellers,Some;doctors;climbers,All;climbers;doctors|All;doctors;climbers|No;climbers;doctors|No;doctors;climbers|Some;climbers;doctors|Some;doctors;climbers|Some not;climbers;doctors|Some not;doctors;climbers|Most;climbers;doctors|Most;doctors;climbers|Most not;climbers;doctors|Most not;doctors;climbers|NVC,syllogistic-generalized,single-choice,participant_3,107,18598.0,IA3,Ica,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
Most;plumbers;dentists/Some;lifeguards;plumbers,NVC,All;dentists;lifeguards|All;lifeguards;dentists|No;dentists;lifeguards|No;lifeguards;dentists|Some;dentists;lifeguards|Some;lifeguards;dentists|Some not;dentists;lifeguards|Some not;lifeguards;dentists|Most;dentists;lifeguards|Most;lifeguards;dentists|Most not;dentists;lifeguards|Most not;lifeguards;dentists|NVC,syllogistic-generalized,single-choice,participant_3,108,3688.0,TI2,NVC,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
All;boxers;opticians/Most;boxers;actuaries,Some;opticians;actuaries,All;opticians;actuaries|All;actuaries;opticians|No;opticians;actuaries|No;actuaries;opticians|Some;opticians;actuaries|Some;actuaries;opticians|Some not;opticians;actuaries|Some not;actuaries;opticians|Most;opticians;actuaries|Most;actuaries;opticians|Most not;opticians;actuaries|Most not;actuaries;opticians|NVC,syllogistic-generalized,single-choice,participant_3,109,39721.0,AT4,Iac,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
No;tutors;butchers/Most not;tutors;packers,NVC,All;butchers;packers|All;packers;butchers|No;butchers;packers|No;packers;butchers|Some;butchers;packers|Some;packers;butchers|Some not;butchers;packers|Some not;packers;butchers|Most;butchers;packers|Most;packers;butchers|Most not;butchers;packers|Most not;packers;butchers|NVC,syllogistic-generalized,single-choice,participant_3,110,3860.0,ED4,NVC,female,associate,10,74,90,68,yes,reasoning,no,43,99,81,yes,no,no,3
